Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Bragança Paulista;F;entre 31 a 40 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;29/12/2025;2026-02-02;08/01/2026;14;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Acessório para eletroeletrônicos (pilhas, baterias etc);Contrato / Oferta;Venda casada;Ganhei de presente;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Guarulhos;F;entre 41 a 50 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;29/12/2025;2026-02-02;08/01/2026;14;14;Banco Sofisa;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;AL;Maceió;M;entre 41 a 50 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;07/01/2026;13;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2025;12;15/12/2025;;12/01/2026;29/12/2025;2026-02-03;08/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 21 a 30 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;29/12/2025;2026-02-02;08/01/2026;14;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Acessório para eletroeletrônicos (pilhas, baterias etc);Contrato / Oferta;Venda casada;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Esteio;M;entre 21 a 30 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;07/01/2026;13;15;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Cambé;M;entre 31 a 40 anos;2025;12;15/12/2025;13/01/2026;13/01/2026;30/12/2025;2026-02-03;08/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Canoas;F;entre 41 a 50 anos;2025;12;15/12/2025;;12/01/2026;29/12/2025;2026-02-03;08/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;CO;MS;Três Lagoas;F;entre 31 a 40 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;07/01/2026;13;15;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 41 a 50 anos;2025;12;15/12/2025;;12/01/2026;29/12/2025;2026-02-03;08/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 41 a 50 anos;2025;12;15/12/2025;14/01/2026;14/01/2026;30/12/2025;2026-02-04;09/01/2026;15;15;RecargaPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 31 a 40 anos;2025;12;15/12/2025;14/01/2026;14/01/2026;30/12/2025;2026-02-04;09/01/2026;15;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Carapicuíba;M;entre 31 a 40 anos;2025;12;15/12/2025;12/01/2026;12/01/2026;29/12/2025;2026-02-02;08/01/2026;14;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Espírito Santo do Pinhal;M;entre 31 a 40 anos;2025;12;15/12/2025;13/01/2026;13/01/2026;29/12/2025;2026-02-03;09/01/2026;15;14;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Taboão da Serra;F;entre 31 a 40 anos;2025;12;15/12/2025;;13/01/2026;29/12/2025;2026-02-04;09/01/2026;15;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Produtos para crianças (carrinho, brinquedos, cadeira, vestuário, mamadeira, etc);Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;M;entre 31 a 40 anos;2025;12;15/12/2025;;12/01/2026;29/12/2025;2026-02-03;08/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Tablet;Contrato / Oferta;Venda casada (garantia estendida, seguro, cursos etc);Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Paulo Afonso;M;entre 21 a 30 anos;2025;12;15/12/2025;14/01/2026;14/01/2026;30/12/2025;2026-02-04;09/01/2026;15;15;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Instrumentos e acessórios musicais;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Sapucaia do Sul;M;entre 21 a 30 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;08/01/2026;13;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;até 20 anos;2025;12;16/12/2025;14/01/2026;14/01/2026;31/12/2025;2026-02-04;09/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;AL;Maceió;F;entre 41 a 50 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-01;08/01/2026;13;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Lavadora de roupa, louça e secadora;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2025;12;16/12/2025;;14/01/2026;31/12/2025;2026-02-05;09/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Cobrança / Contestação;Cobrança adicional não informada previamente (frete, montagem, taxas);Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;Palmas;M;entre 21 a 30 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;08/01/2026;13;14;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;AL;Maceió;F;entre 41 a 50 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;08/01/2026;13;14;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;N ;TO;Araguaína;M;entre 21 a 30 anos;2025;12;16/12/2025;;13/01/2026;31/12/2025;2026-02-04;08/01/2026;13;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Utilidades Domésticas e Decoração (para limpeza, cozinha, cama, mesa e banho, tapetes, cortinas, persianas, jardinagem etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;ES;São Mateus;F;entre 61 a 70 anos;2025;12;16/12/2025;;12/01/2026;30/12/2025;2026-02-03;08/01/2026;13;;Banco Inbursa;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Barreiras;F;entre 51 a 60 anos;2025;12;16/12/2025;;14/01/2026;30/12/2025;2026-02-05;10/01/2026;15;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Livros e papelaria (material didático, artigos de escritório, etc.);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2025;12;16/12/2025;14/01/2026;14/01/2026;31/12/2025;2026-02-04;09/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Maringá;M;entre 21 a 30 anos;2025;12;16/12/2025;13/01/2026;13/01/2026;30/12/2025;2026-02-03;09/01/2026;14;14;Sicredi;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;N ;PA;Oriximiná;M;entre 31 a 40 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;31/12/2025;2026-02-02;07/01/2026;12;15;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;José Bonifácio;M;entre 41 a 50 anos;2025;12;16/12/2025;12/01/2026;05/01/2026;18/12/2025;2026-02-02;13/01/2026;18;9;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 41 a 50 anos;2025;12;16/12/2025;14/01/2026;14/01/2026;31/12/2025;2026-02-04;09/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;MA;Paço do Lumiar;F;entre 41 a 50 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;31/12/2025;2026-02-02;07/01/2026;12;15;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2025;12;16/12/2025;;05/01/2026;17/12/2025;2026-02-05;14/01/2026;19;;Fast Shop;Varejo;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Cobrança / Contestação;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Porto Alegre;F;entre 31 a 40 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;31/12/2025;2026-02-02;07/01/2026;12;15;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Departamento Estadual de Proteção e Defesa do Consumidor;Plataforma Web;S ;PR;Colombo;F;até 20 anos;2025;12;16/12/2025;13/01/2026;13/01/2026;31/12/2025;2026-02-03;08/01/2026;13;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;M;entre 31 a 40 anos;2025;12;16/12/2025;;12/01/2026;30/12/2025;2026-02-03;08/01/2026;13;;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;NE;AL;Maceió;F;entre 21 a 30 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;08/01/2026;13;14;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Microcomputador e laptops;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2025;12;16/12/2025;12/01/2026;05/01/2026;18/12/2025;2026-02-02;13/01/2026;18;9;PicPay;Empresas de Pagamento Eletrônico;Serviços Financeiros;Atendimento Bancário;Dados Pessoais e Privacidade;Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Praia Grande;M;entre 31 a 40 anos;2025;12;16/12/2025;12/01/2026;05/01/2026;17/12/2025;2026-02-02;14/01/2026;19;8;Fast Shop;Varejo;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;até 20 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;29/12/2025;2026-02-02;09/01/2026;14;13;99App;Empresas de Intermediação de Serviços / Negócios;Demais Serviços ;Aplicativo de mobilidade urbana;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jales;M;entre 21 a 30 anos;2025;12;16/12/2025;14/01/2026;14/01/2026;31/12/2025;2026-02-04;09/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Turuçu;M;entre 21 a 30 anos;2025;12;16/12/2025;12/01/2026;12/01/2026;30/12/2025;2026-02-02;08/01/2026;13;14;Sicredi;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Dados Pessoais e Privacidade;Vazamento de dados ou outros incidentes de segurança (acessos não autorizados e situações acidentais ou ilícitas de destruição, perda, alteração, comunicação ou tratamento inadequado ou ilícito);Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 41 a 50 anos;2025;12;16/12/2025;;14/01/2026;31/12/2025;2026-02-05;09/01/2026;14;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;CO;DF;Brasília;M;entre 21 a 30 anos;2025;12;16/12/2025;;12/01/2026;30/12/2025;2026-02-03;08/01/2026;13;;C6 Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Taquaritinga;M;entre 21 a 30 anos;2025;12;16/12/2025;14/01/2026;14/01/2026;31/12/2025;2026-02-04;09/01/2026;14;15;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Vício de Qualidade;Embalagem danificada / violada;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
