Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Bragança Paulista;F;entre 31 a 40 anos;2023;11;22/11/2023;17/12/2023;12/12/2023;27/11/2023;2024-01-07;17/12/2023;15;10;Sem Parar;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 51 a 60 anos;2023;11;22/11/2023;15/12/2023;09/12/2023;25/11/2023;2024-01-05;16/12/2023;14;9;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Rio Bonito;M;entre 61 a 70 anos;2023;11;22/11/2023;15/12/2023;07/12/2023;24/11/2023;2024-01-05;15/12/2023;13;10;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Domicílio;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2023;11;22/11/2023;11/12/2023;07/12/2023;28/11/2023;2024-01-01;11/12/2023;9;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança após cancelamento do serviço;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2023;11;22/11/2023;13/12/2023;05/12/2023;23/11/2023;2024-01-02;14/12/2023;12;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada avaliada;Não Resolvida;3;Improcedente
Coordenação Estadual do Procon de Rondônia;Plataforma Web;N ;RO;Costa Marques;F;entre 31 a 40 anos;2023;11;22/11/2023;13/12/2023;08/12/2023;24/11/2023;2024-01-03;16/12/2023;14;7;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 51 a 60 anos;2023;11;22/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;16/12/2023;14;9;Hipercard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2023;11;22/11/2023;13/12/2023;13/12/2023;30/11/2023;2024-01-03;15/12/2023;13;8;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Aparelho de som, video e imagem ( Câmera, filmadora, dvd, home theater etc);Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;M;entre 21 a 30 anos;2023;11;22/11/2023;15/12/2023;07/12/2023;23/11/2023;2024-01-05;16/12/2023;14;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Coordenação Estadual do Procon de Rondônia;Plataforma Web;N ;RO;Porto Velho;M;entre 21 a 30 anos;2023;11;22/11/2023;13/12/2023;08/12/2023;23/11/2023;2024-01-03;17/12/2023;15;6;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2023;11;23/11/2023;13/12/2023;05/12/2023;23/11/2023;2024-01-03;15/12/2023;12;8;Americanas.com;Comércio Eletrônico;Alimentos;Biscoitos e Doces;Vício de Qualidade;Divergência de peso, volume e quantidade;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Cruz das Almas;F;entre 21 a 30 anos;2023;11;23/11/2023;11/12/2023;07/12/2023;24/11/2023;2024-01-01;16/12/2023;13;5;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Camaçari;F;entre 31 a 40 anos;2023;11;23/11/2023;11/12/2023;07/12/2023;24/11/2023;2024-01-01;16/12/2023;13;5;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2023;11;23/11/2023;11/12/2023;08/12/2023;28/11/2023;2024-01-01;13/12/2023;10;8;Credicard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Atendimento Bancário;Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Campinas;M;entre 31 a 40 anos;2023;11;23/11/2023;16/12/2023;12/12/2023;29/11/2023;2024-01-06;16/12/2023;13;10;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Informação;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;M;entre 31 a 40 anos;2023;11;23/11/2023;12/12/2023;11/12/2023;01/12/2023;2024-01-02;13/12/2023;10;9;Booking.com;Viagens, Turismo e Hospedagem;Turismo/Viagens;Hospedagem;Cobrança / Contestação;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Niterói;M;entre 41 a 50 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;17/12/2023;14;8;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Vício de Qualidade;Interrupção/instabilidade do fornecimento (falta de energia frequente, flutuação/oscilação do nível de tensão);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Coordenação Estadual do Procon de Rondônia;Plataforma Web;N ;RO;Ji-Paraná;F;entre 21 a 30 anos;2023;11;23/11/2023;14/12/2023;08/12/2023;24/11/2023;2024-01-04;17/12/2023;14;7;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Goiana;M;entre 21 a 30 anos;2023;11;23/11/2023;15/12/2023;08/12/2023;23/11/2023;2024-01-05;18/12/2023;15;7;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2023;11;23/11/2023;14/12/2023;05/12/2023;23/11/2023;2024-01-03;15/12/2023;12;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Dificuldade de reclamar ou de obter tratamento a reclamação sobre dados pessoais ou financeiros;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Guanambi;M;entre 21 a 30 anos;2023;11;23/11/2023;13/12/2023;05/12/2023;23/11/2023;2024-01-03;15/12/2023;12;8;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Ar condicionado, ventilador e aquecedor;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Itapecerica da Serra;M;entre 31 a 40 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-04;17/12/2023;14;8;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Acessórios e periféricos (monitor, impressora, pendrive, hd externo, cd dvd, outras midias, roteador, software, scanner etc);Vício de Qualidade;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia;Internet;S;S;Finalizada avaliada;Não Resolvida;1;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Dias D'Ávila;F;entre 31 a 40 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;17/12/2023;14;8;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;M;entre 21 a 30 anos;2023;11;23/11/2023;13/12/2023;08/12/2023;27/11/2023;2024-01-03;14/12/2023;11;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Porto Ferreira;F;entre 51 a 60 anos;2023;11;23/11/2023;13/12/2023;04/12/2023;23/11/2023;2024-01-03;14/12/2023;11;9;Americanas.com;Comércio Eletrônico;Alimentos;Alimentos para fins especiais (dietéticos, infantis, suplementos, gestantes, energéticos, isotônicos etc);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Francisco Morato;M;entre 41 a 50 anos;2023;11;23/11/2023;11/12/2023;06/12/2023;28/11/2023;2024-01-01;11/12/2023;8;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2023;11;23/11/2023;15/12/2023;13/12/2023;30/11/2023;2024-01-05;16/12/2023;13;9;Porto Seguro Cia de Seguros Gerais;Seguros, Capitalização e Previdência;Demais Serviços ;Segurança / monitoramento / rastreamento;Entrega do Produto;Não entrega / demora na entrega do produto;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Campina Grande;F;entre 61 a 70 anos;2023;11;23/11/2023;13/12/2023;12/12/2023;28/11/2023;2024-01-03;17/12/2023;14;6;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Vício de Qualidade;Margem consignável - bloqueio/ contestação;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Catanduva;M;entre 21 a 30 anos;2023;11;23/11/2023;14/12/2023;13/12/2023;29/11/2023;2024-01-04;17/12/2023;14;7;Azul Linhas Aéreas;Transporte Aéreo;Demais Serviços ;Programas de Fidelidade / Benefícios (pontos, milhagem etc);Dados Pessoais e Privacidade;Falta de clareza / transparência no uso dos dados pessoais ou financeiros (falta de informação sobre a finalidade, período de armazenamento ou compartilhamento) ;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Nilópolis;F;entre 31 a 40 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;29/11/2023;2024-01-05;15/12/2023;12;10;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Vício de Qualidade;Bloqueio / Suspensão indevida do serviço;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 61 a 70 anos;2023;11;23/11/2023;16/12/2023;09/12/2023;25/11/2023;2024-01-06;17/12/2023;14;9;Claro Fixo - Embratel;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Atendimento / SAC;Má qualidade no atendimento (descortesia / despreparo/ constrangimento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Jaboatão dos Guararapes;M;entre 31 a 40 anos;2023;11;23/11/2023;11/12/2023;08/12/2023;27/11/2023;2024-01-01;14/12/2023;11;7;Samsung;Fabricantes - Eletroeletrônicos,  Produtos de Telefonia e Informática;Produtos de Telefonia e Informática;Aparelho celular;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Valentim Gentil;M;entre 41 a 50 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;17/12/2023;14;8;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 51 a 60 anos;2023;11;23/11/2023;15/12/2023;07/12/2023;24/11/2023;2024-01-05;16/12/2023;13;9;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Contrato / Oferta;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Sorocaba;M;entre 41 a 50 anos;2023;11;23/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;17/12/2023;14;8;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2023;11;23/11/2023;12/12/2023;12/12/2023;30/11/2023;2024-01-02;15/12/2023;12;7;Google;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Coleta, uso ou compartilhamento indevido ou não autorizado de dados pessoais ou financeiros;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Rio Bonito;M;entre 41 a 50 anos;2023;11;23/11/2023;15/12/2023;07/12/2023;24/11/2023;2024-01-05;16/12/2023;13;9;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Vício de Qualidade;Interrupção/instabilidade do fornecimento (falta de energia frequente, flutuação/oscilação do nível de tensão);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Campinas;M;entre 31 a 40 anos;2023;11;23/11/2023;14/12/2023;12/12/2023;30/11/2023;2024-01-04;15/12/2023;12;9;Magazine Luiza - Loja Online;Comércio Eletrônico;Demais Produtos;Perfumaria, cosméticos e higiene pessoal;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Jundiaí;F;entre 51 a 60 anos;2023;11;24/11/2023;12/12/2023;07/12/2023;28/11/2023;2024-01-02;13/12/2023;9;9;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Renegociação / parcelamento de dívida;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 51 a 60 anos;2023;11;24/11/2023;15/12/2023;13/12/2023;30/11/2023;2024-01-05;17/12/2023;13;8;Mercado Pago;Empresas de Pagamento Eletrônico;Serviços Financeiros;Serviço de pagamento online/ via celular/ maquininha;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 41 a 50 anos;2023;11;24/11/2023;14/12/2023;13/12/2023;30/11/2023;2024-01-02;17/12/2023;13;7;Tudo Azul;Programas de Fidelidade;Transportes;Aéreo;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Loja física;S;S;Finalizada avaliada;Resolvida;5;Improcedente
Secretaria Adjunta de Proteção e Defesa dos Direitos do Consumidor - PROCON-MT;Plataforma Web;CO;MT;Colíder;M;entre 21 a 30 anos;2023;11;24/11/2023;18/12/2023;12/12/2023;27/11/2023;2024-01-08;19/12/2023;15;9;Correios;Empresas de Serviços Postais e Logística;Demais Serviços ;Serviços Postais;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Magé;F;entre 41 a 50 anos;2023;11;24/11/2023;14/12/2023;12/12/2023;29/11/2023;2024-01-04;17/12/2023;13;7;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Contrato / Oferta;Ligações indesejadas de telemarketing (0303);SMS / Mensagem de texto;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Niterói;F;entre 31 a 40 anos;2023;11;24/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;18/12/2023;14;7;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Cobrança / Contestação;Cobrança por Irregularidade ou defeito na medição;Domicílio;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 21 a 30 anos;2023;11;24/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;18/12/2023;14;7;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Limeira;F;entre 61 a 70 anos;2023;11;24/11/2023;11/12/2023;07/12/2023;28/11/2023;2024-01-01;13/12/2023;9;8;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Praia Grande;F;entre 31 a 40 anos;2023;11;24/11/2023;15/12/2023;12/12/2023;29/11/2023;2024-01-05;17/12/2023;13;8;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Taboão da Serra;F;entre 21 a 30 anos;2023;11;24/11/2023;15/12/2023;12/12/2023;30/11/2023;2024-01-05;16/12/2023;12;9;Netshoes;Comércio Eletrônico;Demais Produtos;Vestuário e Artigos de Uso Pessoal (roupa, calçados, jóias, bijuterias, malas, bolsas, etc);Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria Nacional do Consumidor;Plataforma Web;S ;RS;Viamão;F;entre 41 a 50 anos;2023;11;24/11/2023;;04/12/2023;28/11/2023;2024-01-01;10/12/2023;6;;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Televisão;Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 51 a 60 anos;2023;11;24/11/2023;13/12/2023;12/12/2023;27/11/2023;2024-01-03;19/12/2023;15;4;Sam´s Club;Supermercados;Serviços Financeiros;Demais Seguros;Dados Pessoais e Privacidade;Dificuldade de cancelamento / eliminação de dados / revogação do consentimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;entre 61 a 70 anos;2023;11;24/11/2023;13/12/2023;12/12/2023;28/11/2023;2024-01-03;18/12/2023;14;5;Caixa Econômica Federal;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Niterói;F;entre 31 a 40 anos;2023;11;24/11/2023;11/12/2023;06/12/2023;27/11/2023;2024-01-01;13/12/2023;9;8;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Jaboatão dos Guararapes;F;entre 61 a 70 anos;2023;11;24/11/2023;13/12/2023;08/12/2023;29/11/2023;2024-01-03;13/12/2023;9;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Santa Maria da Boa Vista;M;mais de 70 anos;2023;11;24/11/2023;11/12/2023;08/12/2023;27/11/2023;2024-01-01;15/12/2023;11;6;Banco C6 Consignado (Banco Ficsa);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Domicílio;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Belford Roxo;M;entre 31 a 40 anos;2023;11;24/11/2023;15/12/2023;12/12/2023;30/11/2023;2024-01-05;16/12/2023;12;9;BMP Money Plus;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Pessoal e Demais Empréstimos (exceto financiamento de imóveis e veículos);Atendimento / SAC;Má qualidade no atendimento presencial ou outros canais (exceto SAC);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
