Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;São Gonçalo;F;entre 21 a 30 anos;2023;11;21/11/2023;13/12/2023;05/12/2023;23/11/2023;2024-01-03;13/12/2023;12;10;Enel Distribuição Rio (Ampla);Energia Elétrica;Água, Energia, Gás;Energia Elétrica;Vício de Qualidade;Interrupção/instabilidade do fornecimento (falta de energia frequente, flutuação/oscilação do nível de tensão);Domicílio;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Sumaré;M;entre 41 a 50 anos;2023;11;21/11/2023;12/12/2023;05/12/2023;23/11/2023;2024-01-02;13/12/2023;12;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Petrópolis;M;entre 41 a 50 anos;2023;11;21/11/2023;11/12/2023;11/12/2023;28/11/2023;2024-01-01;14/12/2023;13;7;Itaú Unibanco Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Queimados;F;entre 61 a 70 anos;2023;11;21/11/2023;11/12/2023;11/12/2023;29/11/2023;2024-01-01;13/12/2023;12;8;Cardif Seguros e Garantias;Seguros, Capitalização e Previdência;Serviços Financeiros;Demais Seguros;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Guarulhos;F;entre 51 a 60 anos;2023;11;21/11/2023;11/12/2023;05/12/2023;23/11/2023;2024-01-01;13/12/2023;12;8;Banco BV (antigo Banco Votorantim);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Financiamentos de Veículos / Leasing;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Loja física;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Nucleo de Defesa do Consumidor da Defensoria Publica;Plataforma Web;SE;RJ;Campos dos Goytacazes;M;entre 41 a 50 anos;2023;11;21/11/2023;15/12/2023;11/12/2023;27/11/2023;2024-01-05;15/12/2023;14;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Cobrança / Contestação;Cobrança após cancelamento do serviço;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;entre 51 a 60 anos;2023;11;21/11/2023;12/12/2023;07/12/2023;24/11/2023;2024-01-02;14/12/2023;13;8;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cartão não solicitado - Envio ou cobrança;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;M;entre 21 a 30 anos;2023;11;21/11/2023;15/12/2023;07/12/2023;22/11/2023;2024-01-05;16/12/2023;15;9;Google;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Dificuldade para alterar/ ativar serviços;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Itapetininga;M;entre 21 a 30 anos;2023;11;21/11/2023;12/12/2023;05/12/2023;23/11/2023;2024-01-02;13/12/2023;12;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Atendimento / SAC;Dificuldade de contato / demora no atendimento;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;F;entre 21 a 30 anos;2023;11;21/11/2023;14/12/2023;12/12/2023;28/11/2023;2024-01-02;15/12/2023;14;9;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Vício de Qualidade;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica;Internet;S;S;Finalizada avaliada;Resolvida;1;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Salvador;M;entre 21 a 30 anos;2023;11;21/11/2023;15/12/2023;09/12/2023;25/11/2023;2024-01-05;15/12/2023;14;10;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Fogão, microondas, forno elétrico, depurador de ar e coifa;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Galante;M;entre 41 a 50 anos;2023;11;21/11/2023;15/12/2023;07/12/2023;23/11/2023;2024-01-05;15/12/2023;14;10;Hipercard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
