Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Vitória da Conquista;F;entre 41 a 50 anos;2025;5;15/05/2025;;03/06/2025;19/05/2025;2025-07-01;09/06/2025;15;;Unimed CNU (antiga Unimed Nacional);Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Vício de Qualidade;Negativa de cobertura total ou parcial / Demora injustificada;Loja física;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Sousa;F;entre 21 a 30 anos;2025;5;16/05/2025;;04/06/2025;20/05/2025;2025-07-02;10/06/2025;15;;Unimed CNU (antiga Unimed Nacional);Operadoras de Planos de Saúde e Administradoras de Benefícios;Saúde;Plano de Saúde (convênio, autogestão, seguro saúde );Saúde e Segurança;Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;entre 31 a 40 anos;2025;5;16/05/2025;10/06/2025;10/06/2025;26/05/2025;2025-07-01;10/06/2025;15;10;Cardif Seguros e Garantias;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Venda casada (imposição de seguro, empréstimo, título de capitalização etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Rio Novo;M;entre 21 a 30 anos;2025;5;16/05/2025;10/06/2025;06/06/2025;22/05/2025;2025-07-01;10/06/2025;15;10;Icatu Seguros;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguro de Vida;Atendimento / SAC;SAC - Demanda não resolvida / não respondida / respondida após o prazo;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Sete Lagoas;M;mais de 70 anos;2025;5;16/05/2025;10/06/2025;10/06/2025;26/05/2025;2025-07-01;10/06/2025;15;10;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Recife;F;entre 31 a 40 anos;2025;5;16/05/2025;10/06/2025;04/06/2025;20/05/2025;2025-07-01;10/06/2025;15;10;Latam Airlines (Tam);Transporte Aéreo;Transportes;Aéreo;Vício de Qualidade;Extravio/ avaria de bagagem, carga, correspondência (ressarcimento, indenizações);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Bocaina;M;entre 51 a 60 anos;2025;5;16/05/2025;10/06/2025;03/06/2025;19/05/2025;2025-07-01;10/06/2025;15;10;Casasbahia.com;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Eletroportáteis ( batedeira, liquidificador, umidificador, secador, cafeteira etc );Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Coronel Murta;F;entre 61 a 70 anos;2025;5;16/05/2025;10/06/2025;10/06/2025;26/05/2025;2025-07-01;10/06/2025;15;10;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado (para servidores públicos ou trabalhadores do setor privado);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Três Pontas;F;entre 51 a 60 anos;2025;5;16/05/2025;10/06/2025;10/06/2025;26/05/2025;2025-07-01;10/06/2025;15;10;Itaú Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 41 a 50 anos;2025;5;16/05/2025;10/06/2025;05/06/2025;21/05/2025;2025-07-01;10/06/2025;15;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;Santo André;M;mais de 70 anos;2025;5;16/05/2025;;09/06/2025;26/05/2025;2025-07-01;09/06/2025;14;;Banco Mercantil do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Telefone;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;F;entre 61 a 70 anos;2025;5;16/05/2025;10/06/2025;06/06/2025;22/05/2025;2025-07-01;10/06/2025;15;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
