Gestor;Canal de Origem;Região;UF;Cidade;Sexo;Faixa Etária;Ano Abertura;Mês Abertura;Data Abertura;Data Resposta;Data Análise;Data Recusa;Data Finalização;Prazo Resposta;Prazo Analise Gestor;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor;Análise da Recusa
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Natalândia;F;entre 61 a 70 anos;2025;5;16/05/2025;10/06/2025;06/06/2025;22/05/2025;2025-07-01;10/06/2025;15;10;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 31 a 40 anos;2025;5;16/05/2025;;09/06/2025;26/05/2025;2025-07-01;09/06/2025;14;;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Patos de Minas;M;entre 21 a 30 anos;2025;5;16/05/2025;;10/06/2025;26/05/2025;2025-07-02;10/06/2025;15;;Banco Mercantil do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Telefone;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;F;mais de 70 anos;2025;5;16/05/2025;10/06/2025;06/06/2025;22/05/2025;2025-07-01;10/06/2025;15;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;F;entre 41 a 50 anos;2025;5;16/05/2025;;09/06/2025;26/05/2025;2025-07-01;09/06/2025;14;;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Contrato / Oferta;Dificuldade para rescindir o contrato / cancelar o serviço;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;M;entre 41 a 50 anos;2025;5;17/05/2025;10/06/2025;10/06/2025;27/05/2025;2025-07-01;10/06/2025;14;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pós-paga;Vício de Qualidade;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda);Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Viçosa;F;entre 31 a 40 anos;2025;5;17/05/2025;10/06/2025;10/06/2025;26/05/2025;2025-07-01;11/06/2025;15;9;Will Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Betim;M;entre 41 a 50 anos;2025;5;17/05/2025;10/06/2025;10/06/2025;27/05/2025;2025-07-01;10/06/2025;14;10;Oi Fixo;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Negativação indevida (SPC, Serasa, SCPC etc);Telefone;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Novo Oriente de Minas;M;entre 21 a 30 anos;2025;5;17/05/2025;10/06/2025;06/06/2025;23/05/2025;2025-07-01;10/06/2025;14;10;Will Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Telefone;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;M;entre 61 a 70 anos;2025;5;17/05/2025;;10/06/2025;27/05/2025;2025-07-02;10/06/2025;14;;Banco Agibank (Agiplan);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;F;entre 51 a 60 anos;2025;5;17/05/2025;;10/06/2025;27/05/2025;2025-07-02;10/06/2025;14;;Banco Agibank (Agiplan);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;entre 21 a 30 anos;2025;5;17/05/2025;10/06/2025;10/06/2025;27/05/2025;2025-07-01;10/06/2025;14;10;Cardif Seguros e Garantias;Seguros, Capitalização e Previdência;Serviços Financeiros;Seguros de Veículos;Contrato / Oferta;Venda casada (imposição de seguro, empréstimo, título de capitalização etc);Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Açucena;M;entre 51 a 60 anos;2025;5;17/05/2025;10/06/2025;06/06/2025;23/05/2025;2025-07-01;10/06/2025;14;10;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2025;5;18/05/2025;;11/06/2025;28/05/2025;2025-07-03;11/06/2025;14;;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Livros e papelaria (material didático, artigos de escritório, etc.);Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Estado de Defesa do Consumidor;Plataforma Web;SE;RJ;Duque de Caxias;F;entre 51 a 60 anos;2025;5;18/05/2025;10/06/2025;05/06/2025;22/05/2025;2025-07-01;11/06/2025;14;9;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Tiquaruçu;F;entre 61 a 70 anos;2025;5;18/05/2025;12/06/2025;10/06/2025;26/05/2025;2025-07-03;12/06/2025;15;10;BancoSeguro;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Lauro de Freitas;M;entre 31 a 40 anos;2025;5;18/05/2025;;12/06/2025;28/05/2025;2025-07-04;12/06/2025;15;;Amazon.com.br;Comércio Eletrônico;Produtos Eletrodomésticos e Eletrônicos;Refrigerador / freezer;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Paulo;M;entre 31 a 40 anos;2025;5;18/05/2025;11/06/2025;11/06/2025;28/05/2025;2025-07-02;11/06/2025;14;10;Amazon.com.br;Comércio Eletrônico;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Cobrança / Contestação;Cobrança após cancelamento do serviço;Internet;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Jaíba;M;entre 21 a 30 anos;2025;5;18/05/2025;12/06/2025;06/06/2025;22/05/2025;2025-07-03;12/06/2025;15;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida referente à pagamento já efetuado;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Betim;M;entre 31 a 40 anos;2025;5;18/05/2025;10/06/2025;03/06/2025;20/05/2025;2025-07-01;11/06/2025;14;9;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;F;mais de 70 anos;2025;5;18/05/2025;11/06/2025;10/06/2025;27/05/2025;2025-07-02;11/06/2025;14;10;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cartão não solicitado - Envio ou cobrança;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Contagem;F;entre 61 a 70 anos;2025;5;18/05/2025;12/06/2025;10/06/2025;26/05/2025;2025-07-03;12/06/2025;15;10;Tim;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Justiça e Direitos Humanos - Sec. de Justiça, Direitos Humanos e Prevenção à Violência;Plataforma Web;NE;PE;Jaboatão dos Guararapes;F;entre 51 a 60 anos;2025;5;18/05/2025;11/06/2025;03/06/2025;20/05/2025;2025-07-02;11/06/2025;14;10;Hipercard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Atendimento / SAC;Dificuldade de contato / acesso a outros canais (exceto SAC);Telefone;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Fundação de Proteção e Defesa do Consumidor;Plataforma Web;SE;SP;São Bernardo do Campo;F;entre 31 a 40 anos;2025;5;19/05/2025;;02/06/2025;20/05/2025;2025-07-03;11/06/2025;13;;Loft;Construtoras, Incorporadoras e Imobiliárias;Habitação;Imóvel usado (construtora ou imobiliária);Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Uberlândia;F;entre 21 a 30 anos;2025;5;19/05/2025;;12/06/2025;29/05/2025;2025-07-04;12/06/2025;14;;Amazon.com.br;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho de telefone fixo / interfone;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;M;entre 51 a 60 anos;2025;5;19/05/2025;;11/06/2025;29/05/2025;2025-07-03;11/06/2025;13;;Credsystem;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Superintendência de Proteção e Defesa do Consumidor do Estado da Bahia;Plataforma Web;NE;BA;Feira de Santana;M;entre 21 a 30 anos;2025;5;19/05/2025;13/06/2025;13/06/2025;29/05/2025;2025-07-04;13/06/2025;15;10;Will Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas);Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Instituto Municipal de Proteção e Defesa do Consumidor;Plataforma Web;SE;RJ;Rio de Janeiro;F;mais de 70 anos;2025;5;19/05/2025;11/06/2025;10/06/2025;28/05/2025;2025-07-02;11/06/2025;13;10;Amazon.com.br;Comércio Eletrônico;Demais Produtos;Esporte/Lazer/Festa (equipamento de ginástica, camping, náutica, caça, pesca, artigo esportivo, bicicleta, piscina, etc.);Entrega do Produto;Produto entregue incompleto / diferente do  pedido;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Estado de Defesa do Consumidor;Plataforma Web;SE;RJ;Nova Iguaçu;M;mais de 70 anos;2025;5;19/05/2025;11/06/2025;10/06/2025;28/05/2025;2025-07-02;11/06/2025;13;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Dados Pessoais e Privacidade;Dificuldade de acesso a dados pessoais ou financeiros;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;João Pessoa;M;entre 21 a 30 anos;2025;5;19/05/2025;12/06/2025;04/06/2025;20/05/2025;2025-07-03;13/06/2025;15;9;Cartões Itaú;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Renegociação / parcelamento de dívida;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Ipatinga;M;entre 21 a 30 anos;2025;5;19/05/2025;11/06/2025;06/06/2025;23/05/2025;2025-07-02;12/06/2025;14;9;Will Bank;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Contrato / Oferta;Alteração / rescisão de contrato sem solicitação / aviso prévio;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Três Pontas;M;entre 61 a 70 anos;2025;5;19/05/2025;12/06/2025;12/06/2025;28/05/2025;2025-07-03;13/06/2025;15;9;Itaú Unibanco Consignado;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Três Pontas;M;entre 61 a 70 anos;2025;5;19/05/2025;10/06/2025;06/06/2025;23/05/2025;2025-07-01;12/06/2025;14;8;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Não comprei / contratei;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Timóteo;F;entre 21 a 30 anos;2025;5;19/05/2025;11/06/2025;02/06/2025;19/05/2025;2025-07-02;12/06/2025;14;9;ARAUJO;Farmácias;Saúde;Medicamentos;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;Criciúma;M;entre 51 a 60 anos;2025;5;19/05/2025;10/06/2025;09/06/2025;28/05/2025;2025-07-01;10/06/2025;12;10;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Telefonia Móvel Pré-paga;Cobrança / Contestação;Negativação indevida (SPC, Serasa, SCPC etc);Telefone;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Ponte Nova;F;entre 41 a 50 anos;2025;5;19/05/2025;11/06/2025;10/06/2025;26/05/2025;2025-07-02;13/06/2025;15;8;Banco Pan ;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Juiz de Fora;M;entre 61 a 70 anos;2025;5;19/05/2025;;12/06/2025;29/05/2025;2025-07-04;12/06/2025;14;;Banco Mercantil do Brasil;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Contrato / Oferta;Não entrega do contrato ou documentação relacionada ao serviço;Loja física;N;N;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Ipatinga;M;entre 61 a 70 anos;2025;5;19/05/2025;12/06/2025;06/06/2025;22/05/2025;2025-07-03;13/06/2025;15;9;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cartão não solicitado - Envio ou cobrança;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor do Ministério Público da Paraíba;Plataforma Web;NE;PB;Santa Rita;F;entre 61 a 70 anos;2025;5;19/05/2025;12/06/2025;06/06/2025;23/05/2025;2025-07-03;12/06/2025;14;10;Banco Bmg;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Crédito Consignado / Cartão de Crédito Consignado / RMC (para beneficiários do INSS);Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Não comprei / contratei;N;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Secretaria de Estado da Justiça e Cidadania de Santa Catarina - Departamento de Defesa do Consumidor;Plataforma Web;S ;SC;São Ludgero;M;entre 21 a 30 anos;2025;5;19/05/2025;10/06/2025;09/06/2025;28/05/2025;2025-07-01;10/06/2025;12;10;Cardif Seguros e Garantias;Seguros, Capitalização e Previdência;Serviços Financeiros;Demais Seguros;Cobrança / Contestação;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado;Loja física;S;S;Finalizada não avaliada;Não Avaliada;;Improcedente
Programa Estadual de Proteção e Defesa do Consumidor;Plataforma Web;SE;MG;Belo Horizonte;F;entre 21 a 30 anos;2025;5;19/05/2025;;03/06/2025;20/05/2025;2025-07-02;12/06/2025;14;;Loft;Construtoras, Incorporadoras e Imobiliárias;Serviços Financeiros;Seguro Residencial / Condomínio;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Internet;S;N;Finalizada avaliada;Não Resolvida;1;Improcedente
